source;target;weight
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;5
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;5
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;5
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;2
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;5
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;5
8,52E+17;8,52E+17;6
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;5
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;3
8,52E+17;8,52E+17;3
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;3
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;2
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;2
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;2
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
8,52E+17;8,52E+17;1
